,COEFF,QUARTER,REFYEAR,REFWEEK,INTWEEK,COUNTRY,DEGURBA,HHTYPE,HHINST,INTWAVE,INTQUEST,REM,YEAR,HHPRIV,SEX,AGE,NATIONAL,YEARESID,COUNTRYB,PROXY,NOWKREAS,STAPRO,SIGNISAL,COUNTRYW,YSTARTWK,MSTARTWK,FTPT,TEMP,TEMPDUR,HWUSUAL,HWACTUAL,HWOVERP,HWOVERPU,HOURREAS,WISHMORE,HWWISH,LOOKOJ,EXIST2J,STAPRO2J,HWACTUA2,EXISTPR,YEARPR,MONTHPR,STAPROPR,SEEKWORK,SEEKTYPE,SEEKDUR,METHODA,METHODB,METHODC,METHODD,METHODE,METHODF,METHODG,METHODH,METHODI,METHODJ,METHODK,METHODL,METHODM,WANTWORK,AVAILBLE,EDUCSTAT,EDUCLEVL,COURATT,COURLEN,ILOSTAT,ISCO1D,ISCOPR1D,DURUNE,EDUC4WN,HATLEV1D,STARTIME,LEAVCLAS,NACE1D,NACE2J1D,NACEPR1D,HATVOC,EDUCVOC,nace2j1d_g,nacepr1d_g
125951,0.0257218098,_A,2013,47,49.0,DK,0.0,1,9,1,2,11,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,7.0,2.0,1.0,9.0,20.0,24.0,0,0,1.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,2,1,0,1,1,1,1,1,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,500.0,999.0,9.0,0.0,H,4.0,,H,9,9,9,9,9,9
125997,0.0939921426,_A,2013,20,22.0,DK,,1,9,2,2,5,2013,1,1.0,65.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,8,5,4,3,1,1,0,1,1,1,1,0,0,0,0,0,1,0,9.0,1,2.0,9.0,1.0,100.0,2.0,999.0,800.0,1.0,1.0,L,999.0,4.0,9,9,H,9,9,9,H
126043,0.0776389449,_A,2013,24,25.0,DK,0.0,1,9,1,2,6,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2011.0,7,5,4,3,3,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,2,2.0,9.0,1.0,20.0,3.0,999.0,300.0,9.0,1.0,M,999.0,6.0,9,9,I,9,9,9,H
126048,0.0526620925,_A,2013,43,45.0,DK,0.0,1,9,1,2,10,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,1,1.0,2.0,2.0,999.0,2.0,999.0,999.0,3.0,1.0,L,999.0,,9,9,9,9,9,9,9
126056,,_A,2013,21,23.0,DK,0.0,1,9,4,2,5,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,4.0,2.0,2.0,,12.0,4.0,0,0,4.0,0.0,12.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,9,1.0,,,999.0,1.0,,999.0,9.0,1.0,,1.0,,,9,9,9,9,9,9
126058,0.0790751554,_A,2013,10,11.0,DK,0.0,1,9,3,2,3,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,NO ANSWER,2007.0,99.0,1.0,2.0,4.0,37.0,42.0,5,0,16.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,3,0,0,1,0,0,0,0,0,0,0,0,0,1,9.0,9,2.0,9.0,2.0,999.0,1.0,300.0,999.0,9.0,0.0,L,72.0,,B,9,9,9,9,9,9
126068,0.0502206985,_A,2013,46,48.0,DK,0.0,1,9,2,2,11,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,8,5,4,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,20.0,2.0,999.0,400.0,1.0,1.0,H,999.0,3.0,9,9,P,9,9,9,H
126085,0.0760180175,_A,2013,26,28.0,DK,0.0,1,9,3,2,6,2013,1,2.0,32.0,005-EU28,5.0,005-EU28,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,6.0,2.0,2.0,3.0,15.0,15.0,0,0,97.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,1,1,1,1,1,1,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,400.0,999.0,9.0,0.0,,0.0,,H,9,9,9,9,9,9
126092,0.0602829058,_A,2013,43,44.0,DK,3.0,1,9,3,2,10,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,4,5,4,2,3,1,0,1,1,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,2.0,0.0,L,999.0,4.0,9,9,G,9,9,9,G
126094,0.1201979746,_A,2013,23,25.0,DK,3.0,1,9,2,2,6,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,9.0,1.0,2.0,4.0,37.0,45.0,0,0,16.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,1.0,60.0,1.0,200.0,999.0,9.0,1.0,M,9.0,,B,9,9,9,9,9,9
126108,0.0434333937,_A,2013,42,44.0,DK,0.0,1,9,4,2,10,2013,1,2.0,20.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,12,5,4,5,1,0,0,1,1,1,1,1,0,0,0,0,0,0,9.0,1,1.0,3.0,1.0,8.0,2.0,999.0,500.0,1.0,1.0,L,999.0,4.0,9,9,N,9,9,9,H
126116,0.0780631355,_A,2013,12,14.0,DK,3.0,1,9,4,2,3,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2011.0,5.0,1.0,1.0,9.0,37.0,47.0,0,0,1.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,9,2.0,9.0,1.0,22.0,1.0,200.0,999.0,9.0,1.0,H,22.0,,B,9,9,9,9,9,9
126125,0.0367092523,_A,2013,40,41.0,DK,0.0,1,9,2,2,10,2013,1,2.0,20.0,005-EU28,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,1.0,,2.0,999.0,2.0,999.0,999.0,1.0,1.0,M,999.0,,9,9,9,9,9,9,9
126131,0.0548870792,_A,2013,41,43.0,DK,0.0,1,9,1,2,10,2013,1,2.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2010.0,99.0,1.0,1.0,9.0,35.0,38.0,1,0,16.0,0.0,35.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,3,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,9,2.0,9.0,1.0,111.0,1.0,500.0,999.0,9.0,1.0,M,36.0,,H,9,9,9,9,9,9
126145,,_A,2013,5,6.0,DK,3.0,1,9,4,2,1,2013,1,1.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,0.0,9,000-OWN COUNTRY,,99.0,1.0,9.0,9.0,37.0,0.0,99,99,1.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,9,2.0,9.0,,999.0,1.0,700.0,999.0,9.0,,,,,,9,9,9,9,9,9
126153,0.0312742042,_A,2013,41,43.0,DK,0.0,1,9,2,2,10,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,9.0,2.0,2.0,3.0,32.0,32.0,0,0,97.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,1.0,200.0,999.0,9.0,0.0,H,1.0,,H,9,9,9,9,9,9
126159,0.0292361201,_A,2013,22,24.0,DK,0.0,1,9,1,2,5,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,3,5,4,3,1,1,0,1,1,1,1,0,0,0,0,0,0,1,9.0,1,2.0,9.0,1.0,2.0,2.0,999.0,900.0,1.0,1.0,M,999.0,2.0,9,9,G,9,9,9,G
126174,0.0313351394,_A,2013,6,7.0,DK,0.0,1,9,1,2,2,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,6.0,2.0,1.0,9.0,25.0,30.0,0,0,1.0,0.0,10.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,9,1.0,5.0,1.0,2.0,1.0,500.0,999.0,9.0,1.0,H,8.0,,H,9,9,9,9,9,9
126179,0.0728230962,_A,2013,2,3.0,DK,3.0,1,9,1,2,1,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,8,5,4,3,2,1,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,300.0,1.0,0.0,H,999.0,3.0,9,9,K,9,9,9,H
126219,0.0306023974,_A,2013,42,44.0,DK,3.0,1,9,2,2,10,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2011.0,8,5,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,1.0,3.0,2.0,999.0,2.0,999.0,900.0,1.0,1.0,L,999.0,7.0,9,9,C,9,9,9,B
126248,,_A,2013,34,35.0,DK,0.0,1,9,4,2,8,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2007.0,99.0,1.0,1.0,9.0,35.0,35.0,0,0,97.0,0.0,35.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,9,2.0,9.0,,999.0,1.0,300.0,999.0,9.0,,,72.0,,H,9,9,9,9,9,9
126264,0.1248202787,_A,2013,18,19.0,DK,0.0,1,9,4,2,5,2013,1,2.0,47.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2009.0,99,5,4,2,3,1,0,0,0,1,1,1,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,8.0,2.0,999.0,500.0,3.0,1.0,L,999.0,8.0,9,9,Q,9,9,9,H
126290,0.0351303196,_A,2013,33,35.0,DK,3.0,1,9,1,2,8,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2010.0,99,5,4,5,1,0,1,1,0,1,1,0,0,0,0,0,0,0,9.0,1,1.0,5.0,2.0,999.0,2.0,999.0,500.0,1.0,1.0,M,999.0,7.0,9,9,G,9,9,9,G
126294,0.0458326711,_A,2013,14,15.0,DK,0.0,1,9,1,2,4,2013,1,2.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,2.0,1.0,1.0,9.0,37.0,39.0,2,0,16.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,200.0,999.0,9.0,0.0,H,2.0,,H,9,9,9,9,9,9
126297,0.0425095198,_A,2013,33,34.0,DK,0.0,1,9,4,2,8,2013,1,2.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2006.0,99.0,1.0,1.0,9.0,37.0,42.0,0,0,1.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,9,1.0,,2.0,999.0,1.0,400.0,999.0,9.0,1.0,M,84.0,,H,9,9,9,9,9,9
126326,0.0146074554,_A,2013,15,16.0,DK,0.0,1,9,3,2,4,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,10.0,2.0,1.0,9.0,30.0,30.0,0,0,97.0,1.0,37.0,1.0,2.0,5,0.0,9.0,9999.0,99,9,9,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,15.0,1.0,900.0,999.0,9.0,1.0,M,6.0,,H,Q,9,9,9,H,9
126348,,_A,2013,45,46.0,DK,3.0,1,9,4,2,11,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,6.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,9.0,9,2.0,9.0,,999.0,1.0,,999.0,9.0,,,5.0,,,9,9,9,9,9,9
126349,0.0347060376,_A,2013,7,9.0,DK,3.0,1,9,2,2,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,2,5,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,1.0,2.0,1.0,40.0,2.0,999.0,900.0,1.0,1.0,L,999.0,5.0,9,9,G,9,9,9,G
126375,0.0129627901,_A,2013,12,14.0,DK,3.0,1,9,3,2,3,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,2,5,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,900.0,1.0,0.0,L,999.0,2.0,9,9,A,9,9,9,A
126383,0.0155947016,_A,2013,8,9.0,DK,3.0,1,9,2,2,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,48.0,2.0,999.0,999.0,1.0,1.0,M,999.0,,9,9,9,9,9,9,9
126396,0.0260578414,_A,2013,16,18.0,DK,3.0,1,9,2,2,4,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,2.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,4,5,4,3,1,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,28.0,2.0,999.0,500.0,1.0,1.0,M,999.0,5.0,9,9,G,9,9,9,G
126405,0.0754577204,_A,2013,23,25.0,DK,0.0,1,9,3,2,6,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,6.0,1.0,1.0,9.0,37.0,45.0,0,8,16.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9.0,9,2.0,9.0,1.0,8.0,1.0,200.0,999.0,9.0,1.0,H,12.0,,B,9,9,9,9,9,9
126409,,_A,2013,34,35.0,DK,0.0,1,9,4,2,8,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,7.0,2.0,1.0,9.0,4.0,4.0,0,0,97.0,0.0,7.0,1.0,2.0,5,0.0,9.0,9999.0,99,9,9,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,9.0,9,1.0,,,999.0,1.0,500.0,999.0,9.0,1.0,,1.0,,G,,9,9,9,,9
126416,0.0483616201,_A,2013,28,30.0,DK,0.0,1,9,3,2,7,2013,1,1.0,65.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2009.0,99,5,4,3,2,1,0,1,1,1,1,1,0,0,1,0,0,0,9.0,1,2.0,9.0,2.0,999.0,2.0,999.0,500.0,2.0,0.0,M,999.0,8.0,9,9,G,9,9,9,G
126436,0.0181468422,_A,2013,14,15.0,DK,0.0,1,9,2,2,4,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2013.0,3,5,4,5,1,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,1.0,3.0,1.0,17.0,2.0,999.0,900.0,1.0,1.0,L,999.0,2.0,9,9,I,9,9,9,H
126438,0.0739680166,_A,2013,31,32.0,DK,0.0,1,9,2,2,8,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2008.0,99.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,700.0,999.0,9.0,0.0,L,60.0,,F,9,9,9,9,9,9
126468,0.0528111316,_A,2013,10,11.0,DK,0.0,1,9,3,2,3,2013,1,1.0,47.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1995.0,99.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,1.0,2.0,1.0,900.0,999.0,9.0,1.0,M,216.0,,B,9,9,9,9,9,9
126495,0.0580288587,_A,2013,21,22.0,DK,0.0,1,9,4,2,5,2013,1,2.0,32.0,000-OWN COUNTRY,11.0,005-EU28,1.0,99,5.0,9,000-OWN COUNTRY,2009.0,99.0,1.0,1.0,9.0,37.0,50.0,0,0,1.0,0.0,24.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,9.0,9,2.0,9.0,1.0,8.0,1.0,200.0,999.0,9.0,1.0,H,48.0,,H,9,9,9,9,9,9
126497,0.0217041471,_A,2013,39,41.0,DK,0.0,1,9,1,2,9,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,7.0,2.0,1.0,9.0,28.0,28.0,0,0,97.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,64.0,1.0,400.0,999.0,9.0,1.0,M,2.0,,H,9,9,9,9,9,9
126524,0.0179785613,_A,2013,10,12.0,DK,3.0,1,9,3,2,3,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,9,5.0,4,000-OWN COUNTRY,2012.0,8.0,2.0,1.0,9.0,4.0,0.0,0,0,99.0,0.0,3.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0,9,1.0,2.0,1.0,12.0,1.0,900.0,999.0,9.0,1.0,L,7.0,,G,9,9,9,9,9,9
126542,0.1529719377,_A,2013,2,4.0,DK,0.0,1,9,4,2,1,2013,1,1.0,32.0,NO ANSWER,,NO ANSWER,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2012.0,8,5,4,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,9.0,1,2.0,9.0,1.0,25.0,2.0,999.0,900.0,1.0,1.0,L,999.0,3.0,9,9,P,9,9,9,H
126560,0.0617693824,_A,2013,37,38.0,DK,0.0,1,9,2,2,9,2013,1,2.0,32.0,005-EU28,5.0,005-EU28,1.0,99,5.0,9,000-OWN COUNTRY,2006.0,99.0,1.0,2.0,4.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,1.0,,1.0,200.0,999.0,9.0,1.0,H,84.0,,H,9,9,9,9,9,9
126569,0.0189388576,_A,2013,18,20.0,DK,3.0,1,9,2,2,5,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,1.0,2010.0,99,5,4,5,3,0,0,1,1,0,1,0,0,0,0,0,0,0,9.0,2,1.0,3.0,1.0,6.0,3.0,999.0,900.0,9.0,1.0,L,999.0,7.0,9,9,C,9,9,9,B
126571,0.0540556628,_A,2013,8,9.0,DK,3.0,1,9,1,2,2,2013,1,2.0,32.0,NO ANSWER,,NO ANSWER,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,7.0,2.0,2.0,5.0,32.0,41.0,0,0,1.0,1.0,32.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,0,0,0,1,0,0,0,0,0,0,1,9.0,2,2.0,9.0,1.0,7.0,1.0,200.0,999.0,9.0,1.0,H,7.0,,H,9,9,9,9,9,9
126586,0.0293925265,_A,2013,7,8.0,DK,3.0,1,9,1,2,2,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,0.0,9999.0,99,9,4,5,1,0,0,1,1,1,1,0,0,0,1,0,0,0,9.0,1,1.0,2.0,2.0,999.0,2.0,999.0,999.0,1.0,1.0,L,999.0,,9,9,9,9,9,9,9
126588,0.0470810925,_A,2013,28,30.0,DK,3.0,1,9,1,2,7,2013,1,2.0,32.0,NO ANSWER,,NO ANSWER,1.0,99,5.0,9,000-OWN COUNTRY,2012.0,1.0,1.0,2.0,6.0,37.0,40.0,0,0,1.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,9.0,9,2.0,9.0,2.0,999.0,1.0,200.0,999.0,9.0,0.0,H,18.0,,H,9,9,9,9,9,9
126605,,_A,2013,34,36.0,DK,0.0,1,9,4,2,8,2013,1,1.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,9.0,9,NO ANSWER,9999.0,99.0,9.0,9.0,9.0,99.0,99.0,99,99,99.0,9.0,99.0,9.0,9.0,9,99.0,,9999.0,99,9,4,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9.0,1,1.0,,,999.0,2.0,999.0,999.0,1.0,1.0,,999.0,,9,9,9,9,9,9,9
126623,0.1025054852,_A,2013,29,30.0,DK,0.0,1,9,2,2,7,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,7,5.0,4,000-OWN COUNTRY,2010.0,99.0,2.0,1.0,9.0,30.0,0.0,0,0,99.0,1.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,3,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,2,2.0,9.0,2.0,999.0,1.0,200.0,999.0,9.0,0.0,H,36.0,,H,9,9,9,9,9,9
126638,0.0134355461,_A,2013,46,47.0,DK,0.0,1,9,4,2,11,2013,1,2.0,20.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,2013.0,11.0,2.0,1.0,9.0,6.0,6.0,0,0,97.0,1.0,10.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,5,1,0,0,1,0,1,1,0,0,0,0,0,0,0,9.0,1,1.0,2.0,2.0,999.0,1.0,500.0,999.0,9.0,1.0,L,0.0,,G,9,9,9,9,9,9
126693,0.064326867,_A,2013,32,34.0,DK,3.0,1,9,2,2,8,2013,1,1.0,32.0,000-OWN COUNTRY,0.0,000-OWN COUNTRY,1.0,99,5.0,9,000-OWN COUNTRY,1998.0,99.0,1.0,1.0,9.0,37.0,37.0,0,0,97.0,0.0,37.0,1.0,1.0,9,99.0,9.0,9999.0,99,9,9,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,9.0,9,2.0,9.0,1.0,56.0,1.0,700.0,999.0,9.0,1.0,M,180.0,,H,9,9,9,9,9,9
